                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.58201,                0.54715,                 1.0636,                0.98029,                0.98208,                0.99289,                0.92974,                0.41372,                0.38714,                 0.9182,             0.00085368,             0.00085368,             0.00085368
                    124,                0.66903,                0.60369,                 1.1543,                0.97133,                0.98208,                0.99286,                0.91952,                0.41624,                0.40134,                0.92266,             0.00084897,             0.00084897,             0.00084897
                    125,                0.60641,                0.56163,                 1.0402,                  0.971,                 0.9747,                0.99256,                 0.9178,                0.39794,                0.39726,                0.91591,             0.00084425,             0.00084425,             0.00084425
                    126,                0.54572,                0.53516,                0.99479,                0.97853,                0.98071,                0.99293,                0.91629,                0.39986,                0.39943,                0.91663,             0.00083954,             0.00083954,             0.00083954
                    127,                0.53112,                0.53053,                0.99221,                0.98289,                0.99125,                0.99332,                0.91647,                0.41303,                0.40388,                0.92012,             0.00083482,             0.00083482,             0.00083482
                    128,                0.49799,                0.49296,                  1.023,                0.97128,                0.97116,                0.99084,                0.91669,                0.41047,                0.38653,                0.91686,             0.00083011,             0.00083011,             0.00083011
                    129,                0.56193,                0.53249,                 1.0451,                0.97379,                0.97058,                0.99076,                0.92096,                0.40262,                0.38377,                0.91371,             0.00082539,             0.00082539,             0.00082539
                    130,                0.55378,                0.53368,                 1.0183,                0.96303,                0.98709,                0.99149,                0.92546,                0.40251,                0.38289,                0.91615,             0.00082067,             0.00082067,             0.00082067
                    131,                0.58314,                0.53309,                 1.0418,                0.97672,                0.97417,                0.99169,                0.91794,                0.41544,                0.38733,                0.92371,             0.00081596,             0.00081596,             0.00081596
                    132,                0.54956,                0.52448,                 1.0122,                0.97062,                0.98116,                0.99146,                0.91914,                  0.422,                0.39339,                0.93165,             0.00081124,             0.00081124,             0.00081124
                    133,                0.58019,                0.56991,                  1.045,                0.97226,                  0.977,                0.99126,                0.92183,                0.42077,                0.39341,                0.92942,             0.00080653,             0.00080653,             0.00080653
                    134,                0.54657,                0.50907,                0.98971,                0.97178,                0.97417,                0.99093,                 0.9202,                0.42605,                0.39639,                0.93013,             0.00080181,             0.00080181,             0.00080181
